DATAFLOW,LAST UPDATE,freq,stk_flow,partner,hazard,wst_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASSHIP(1.0),21/11/24 23:00:00,Annual,Exports,Andorra,Hazardous and non-hazardous - total,Recovery,Tonne,European Union - 27 countries (from 2020),2017,2902,
ESTAT:ENV_WASSHIP(1.0),21/11/24 23:00:00,Annual,Exports,Andorra,Hazardous and non-hazardous - total,Recovery,Tonne,European Union - 27 countries (from 2020),2018,8672,
ESTAT:ENV_WASSHIP(1.0),21/11/24 23:00:00,Annual,Exports,Andorra,Hazardous and non-hazardous - total,Recovery,Tonne,European Union - 27 countries (from 2020),2019,8661,
ESTAT:ENV_WASSHIP(1.0),21/11/24 23:00:00,Annual,Exports,Andorra,Hazardous and non-hazardous - total,Recovery,Tonne,European Union - 27 countries (from 2020),2021,7618,
ESTAT:ENV_WASSHIP(1.0),21/11/24 23:00:00,Annual,Exports,Andorra,Hazardous and non-hazardous - total,Waste treatment,Tonne,European Union - 27 countries (from 2020),2017,2902,
ESTAT:ENV_WASSHIP(1.0),21/11/24 23:00:00,Annual,Exports,Andorra,Hazardous and non-hazardous - total,Waste treatment,Tonne,European Union - 27 countries (from 2020),2018,8672,
ESTAT:ENV_WASSHIP(1.0),21/11/24 23:00:00,Annual,Exports,Andorra,Hazardous and non-hazardous - total,Waste treatment,Tonne,European Union - 27 countries (from 2020),2019,8661,
ESTAT:ENV_WASSHIP(1.0),21/11/24 23:00:00,Annual,Exports,Andorra,Hazardous and non-hazardous - total,Waste treatment,Tonne,European Union - 27 countries (from 2020),2021,7618,
ESTAT:ENV_WASSHIP(1.0),21/11/24 23:00:00,Annual,Exports,Andorra,Other,Recovery,Tonne,European Union - 27 countries (from 2020),2017,2902,
ESTAT:ENV_WASSHIP(1.0),21/11/24 23:00:00,Annual,Exports,Andorra,Other,Recovery,Tonne,European Union - 27 countries (from 2020),2018,8672,
ESTAT:ENV_WASSHIP(1.0),21/11/24 23:00:00,Annual,Exports,Andorra,Other,Recovery,Tonne,European Union - 27 countries (from 2020),2019,8661,
ESTAT:ENV_WASSHIP(1.0),21/11/24 23:00:00,Annual,Exports,Andorra,Other,Recovery,Tonne,European Union - 27 countries (from 2020),2021,7618,
ESTAT:ENV_WASSHIP(1.0),21/11/24 23:00:00,Annual,Exports,Andorra,Other,Waste treatment,Tonne,European Union - 27 countries (from 2020),2017,2902,
ESTAT:ENV_WASSHIP(1.0),21/11/24 23:00:00,Annual,Exports,Andorra,Other,Waste treatment,Tonne,European Union - 27 countries (from 2020),2018,8672,
ESTAT:ENV_WASSHIP(1.0),21/11/24 23:00:00,Annual,Exports,Andorra,Other,Waste treatment,Tonne,European Union - 27 countries (from 2020),2019,8661,
ESTAT:ENV_WASSHIP(1.0),21/11/24 23:00:00,Annual,Exports,Andorra,Other,Waste treatment,Tonne,European Union - 27 countries (from 2020),2021,7618,
ESTAT:ENV_WASSHIP(1.0),21/11/24 23:00:00,Annual,Exports,Albania,Hazardous and non-hazardous - total,Recovery,Tonne,European Union - 27 countries (from 2020),2014,96,
ESTAT:ENV_WASSHIP(1.0),21/11/24 23:00:00,Annual,Exports,Albania,Hazardous and non-hazardous - total,Recovery,Tonne,European Union - 27 countries (from 2020),2015,291,
ESTAT:ENV_WASSHIP(1.0),21/11/24 23:00:00,Annual,Exports,Albania,Hazardous and non-hazardous - total,Recovery,Tonne,European Union - 27 countries (from 2020),2016,161,
ESTAT:ENV_WASSHIP(1.0),21/11/24 23:00:00,Annual,Exports,Albania,Hazardous and non-hazardous - total,Recovery,Tonne,European Union - 27 countries (from 2020),2017,221,
ESTAT:ENV_WASSHIP(1.0),21/11/24 23:00:00,Annual,Exports,Albania,Hazardous and non-hazardous - total,Recovery,Tonne,European Union - 27 countries (from 2020),2018,473,
